order_id,customer_id,order_date
198,260,30-08-2023
199,292,05-09-2023
200,359,17-06-2023
201,470,24-09-2023
202,408,29-03-2023
203,289,29-12-2023
204,255,23-07-2023
205,7,17-07-2023
206,283,15-10-2023
207,426,19-08-2023
208,85,31-10-2023
209,302,11-07-2023
210,27,08-07-2023
211,421,30-06-2023
212,225,02-05-2023
213,353,27-11-2023
214,340,07-10-2023
215,156,15-02-2023
216,227,02-07-2023
217,100,24-03-2023
218,69,15-08-2023
219,477,24-01-2023
220,489,06-07-2023
221,291,22-06-2023
222,497,30-03-2023
223,292,09-09-2023
224,245,05-01-2023
225,295,30-04-2023
226,453,09-11-2023
227,31,16-08-2023
228,336,25-03-2023
229,261,17-04-2023
230,205,27-08-2023
231,64,11-06-2023
232,135,12-03-2023
233,87,18-06-2023
234,68,03-04-2023
235,413,13-11-2023
236,272,07-06-2023
237,120,11-10-2023
238,362,07-08-2023
239,240,23-08-2023
240,262,10-10-2023
241,160,28-03-2023
242,267,12-11-2023
243,260,08-06-2023
244,304,16-04-2023
245,145,11-12-2023
246,80,16-12-2023
247,4,24-06-2023
248,61,06-08-2023
249,195,01-01-2024
250,336,20-09-2023
251,377,02-04-2023
252,317,14-08-2023
253,231,01-10-2023
254,227,06-07-2023
255,428,16-04-2023
256,28,13-02-2023
257,370,24-02-2023
258,50,03-10-2023
259,199,12-03-2023
260,228,23-07-2023
261,94,01-09-2023
262,230,25-09-2023
263,437,31-10-2023
264,19,28-10-2023
265,100,30-10-2023
266,231,08-09-2023
267,200,29-05-2023
268,468,28-06-2023
269,398,30-03-2023
270,432,03-11-2023
271,140,03-04-2023
272,450,15-01-2023
273,285,01-02-2023
274,409,10-12-2023
275,34,09-10-2023
276,118,17-08-2023
277,436,13-06-2023
278,227,21-06-2023
279,456,22-02-2023
280,199,28-01-2023
281,383,28-08-2023
282,143,29-07-2023
283,239,19-06-2023
284,260,19-02-2023
285,85,25-07-2023
286,278,07-08-2023
287,453,11-11-2023
288,380,02-09-2023
289,259,18-03-2023
290,164,16-03-2023
291,180,12-03-2023
292,313,10-04-2023
293,116,21-04-2023
294,455,21-08-2023
295,333,21-03-2023
296,53,24-12-2023
297,53,06-08-2023
298,27,21-08-2023
299,78,11-07-2023
300,287,14-06-2023
301,481,24-05-2023
302,204,08-01-2023
303,199,07-09-2023
304,367,17-08-2023
305,155,31-12-2023
306,156,26-11-2023
307,298,18-07-2023
308,161,29-05-2023
309,90,21-02-2023
310,251,03-04-2023
311,229,20-03-2023
312,235,24-02-2023
313,276,05-03-2023
314,275,13-06-2023
315,162,11-09-2023
316,488,13-12-2023
317,287,22-11-2023
318,175,25-10-2023
319,164,15-10-2023
320,304,25-08-2023
321,166,06-09-2023
322,354,21-07-2023
323,422,02-10-2023
324,465,22-04-2023
325,86,04-05-2023
326,275,13-04-2023
327,440,01-11-2023
328,478,06-05-2023
329,27,14-06-2023
330,464,14-11-2023
331,389,01-02-2023
332,169,03-08-2023
333,483,16-01-2023
334,177,04-07-2023
335,186,04-11-2023
336,305,05-12-2023
337,447,29-07-2023
338,108,28-05-2023
339,465,25-04-2023
340,161,23-07-2023
341,358,16-07-2023
342,343,31-03-2023
343,5,19-07-2023
344,334,29-06-2023
345,310,12-11-2023
346,430,24-04-2023
347,120,03-02-2023
348,422,10-11-2023
349,164,16-07-2023
350,105,30-12-2023
351,447,31-05-2023
352,50,11-08-2023
353,3,29-06-2023
354,48,28-07-2023
355,488,20-03-2023
356,58,01-10-2023
357,405,02-04-2023
358,386,24-06-2023
359,74,12-07-2023
360,224,16-06-2023
361,278,23-11-2023
362,484,25-12-2023
363,268,22-05-2023
364,483,17-04-2023
365,100,23-03-2023
366,85,03-10-2023
367,83,17-03-2023
368,62,15-08-2023
369,300,25-09-2023
370,67,09-08-2023
371,69,20-06-2023
372,311,26-12-2023
373,349,12-06-2023
374,305,12-03-2023
375,11,03-07-2023
376,399,31-03-2023
377,116,01-05-2023
378,355,12-09-2023
379,304,08-09-2023
380,18,30-11-2023
381,46,10-03-2023
382,273,29-08-2023
383,290,15-03-2023
384,108,04-07-2023
385,363,12-03-2023
386,144,28-06-2023
387,34,16-07-2023
388,244,16-01-2023
389,271,25-08-2023
390,455,11-04-2023
391,369,04-05-2023
392,106,19-12-2023
393,466,03-01-2023
394,370,23-12-2023
395,156,22-01-2023
396,137,23-09-2023
397,97,06-02-2023
398,409,24-02-2023
399,417,26-02-2023
400,444,24-07-2023
401,170,23-02-2023
402,229,23-10-2023
403,268,30-12-2023
404,334,05-09-2023
405,342,24-05-2023
406,74,09-08-2023
407,191,28-11-2023
408,179,16-07-2023
409,211,12-08-2023
410,189,09-10-2023
411,473,16-04-2023
412,101,03-02-2023
413,75,02-05-2023
414,123,11-01-2023
415,124,09-12-2023
416,202,22-08-2023
417,402,12-11-2023
418,226,18-10-2023
419,49,28-01-2023
420,89,27-09-2023
421,4,23-01-2023
422,221,23-05-2023
423,213,09-03-2023
424,441,01-05-2023
425,356,05-12-2023
426,192,01-08-2023
427,399,25-06-2023
428,300,25-01-2023
429,260,21-08-2023
430,67,19-12-2023
431,471,25-09-2023
432,187,27-10-2023
433,31,28-06-2023
434,61,06-05-2023
435,326,24-11-2023
436,64,12-08-2023
437,487,18-03-2023
438,413,10-01-2023
439,188,08-03-2023
440,78,28-05-2023
441,13,30-08-2023
442,327,14-01-2023
443,248,04-02-2023
444,385,29-10-2023
445,221,17-02-2023
446,241,06-10-2023
447,309,14-09-2023
448,50,07-03-2023
449,276,12-12-2023
450,362,21-07-2023
451,330,05-11-2023
452,279,29-07-2023
453,124,25-09-2023
454,195,02-09-2023
455,427,12-06-2023
456,225,01-03-2023
457,35,18-04-2023
458,304,09-11-2023
459,444,24-12-2023
460,190,23-02-2023
461,50,01-07-2023
462,55,11-04-2023
463,57,20-12-2023
464,335,30-10-2023
465,45,02-01-2023
466,263,10-08-2023
467,467,01-05-2023
468,47,07-06-2023
469,250,10-11-2023
470,32,21-10-2023
471,220,14-10-2023
472,153,20-07-2023
473,322,21-01-2023
474,344,01-11-2023
475,15,22-05-2023
476,466,14-11-2023
477,245,13-08-2023
478,113,18-05-2023
479,466,14-06-2023
480,397,02-09-2023
481,227,01-10-2023
482,29,18-05-2023
483,264,30-03-2023
484,382,28-12-2023
485,225,22-08-2023
486,152,27-10-2023
487,303,04-04-2023
488,165,19-09-2023
489,499,04-12-2023
490,204,08-12-2023
491,355,31-07-2023
492,351,14-10-2023
493,306,23-07-2023
494,245,19-11-2023
495,113,06-06-2023
496,9,02-02-2023
497,76,10-09-2023
498,499,01-03-2023
499,424,04-07-2023
500,133,08-06-2023
