payment_id,order_id,payment_amount,payment_date
62,62,48071.85,24-02-2023
63,63,33538.34,17-11-2023
64,64,83147.35,16-05-2023
65,65,97781.63,23-01-2023
66,66,9914.96,27-03-2023
67,67,73353.33,19-01-2023
68,68,949.12,17-06-2023
69,69,34125.29,24-03-2023
70,70,42475.98,13-11-2023
71,71,98940.12,09-08-2023
72,72,55171.3,25-07-2023
73,73,12652.26,14-12-2023
74,74,39822.23,15-01-2023
75,75,14070.88,16-09-2023
76,76,48864.7,19-07-2023
77,77,94407.16,07-03-2023
78,78,29201.22,13-03-2023
79,79,57066.66,13-03-2023
80,80,55624.67,16-03-2023
81,81,59050.65,12-04-2023
82,82,92543.3,19-04-2023
83,83,49223.28,23-08-2023
84,84,78868.13,29-08-2023
85,85,63555.07,29-09-2023
86,86,549.06,04-08-2023
87,87,89526.23,30-12-2023
88,88,38211.36,17-05-2023
89,89,62088.16,14-01-2023
90,90,76985.64,15-06-2023
91,91,11320.48,20-09-2023
92,92,85840.31,06-05-2023
93,93,43132.49,08-03-2023
94,94,88414.31,28-08-2023
95,95,56985.93,08-10-2023
96,96,37056.55,04-03-2023
97,97,87732.94,16-02-2023
98,98,71312.85,27-07-2023
99,99,44468.98,04-08-2023
100,100,91783.63,17-09-2023
101,101,44196.13,12-07-2023
102,102,53909.42,25-01-2023
103,103,82874.18,15-06-2023
104,104,76463.24,22-02-2023
105,105,2446.56,09-02-2023
106,106,71674.16,21-12-2023
107,107,47775.83,29-04-2023
108,108,14899.21,08-02-2023
109,109,17187.63,23-05-2023
110,110,75782.67,22-12-2023
111,111,99409.9,06-04-2023
112,112,23688.2,30-05-2023
113,113,65044.08,06-10-2023
114,114,55624.91,21-08-2023
115,115,59732.68,06-05-2023
116,116,1600.57,29-08-2023
117,117,15304.33,11-04-2023
118,118,18560.43,06-02-2023
119,119,26043.73,28-03-2023
120,120,39465.45,28-10-2023
121,121,80898.81,04-06-2023
122,122,74659.65,03-04-2023
123,123,45730.24,23-07-2023
124,124,68219.33,02-07-2023
125,125,60559.84,29-04-2023
126,126,785.13,04-10-2023
127,127,61950.54,26-03-2023
128,128,45734.09,06-03-2023
129,129,94316.65,17-07-2023
130,130,99103.57,22-06-2023
131,131,34624.06,02-01-2023
132,132,87580.66,07-04-2023
133,133,26098.07,17-11-2023
134,134,99527.68,30-01-2023
135,135,92962.63,28-11-2023
136,136,4117.85,24-08-2023
137,137,28811.57,26-09-2023
138,138,75449.1,25-11-2023
139,139,11422.19,09-02-2023
140,140,60558.12,14-04-2023
141,141,94622.54,16-01-2023
142,142,43858.49,29-03-2023
143,143,44278.12,14-06-2023
144,144,5649.96,13-11-2023
145,145,50446.68,29-12-2023
146,146,29051.01,07-03-2023
147,147,97099.15,12-11-2023
148,148,52429.18,05-05-2023
149,149,11812.37,09-09-2023
150,150,23363.04,12-06-2023
151,151,93998.86,10-12-2023
152,152,30940.58,19-03-2023
153,153,27009.58,03-08-2023
154,154,26878.58,10-01-2023
155,155,95607.23,09-07-2023
156,156,50437.81,30-01-2023
157,157,33061.99,22-01-2023
158,158,3941.32,14-05-2023
159,159,25145.31,30-05-2023
160,160,48481.66,03-11-2023
161,161,91617.72,13-09-2023
162,162,34109.33,15-02-2023
163,163,20356.15,29-06-2023
164,164,71972.74,15-02-2023
165,165,78708.9,15-03-2023
166,166,36321.66,25-08-2023
167,167,38181.38,27-06-2023
168,168,61623.78,10-02-2023
169,169,25053.19,18-02-2023
170,170,23977.14,09-06-2023
171,171,52503.54,11-02-2023
172,172,12643.66,02-11-2023
173,173,36356,08-05-2023
174,174,55852.71,19-11-2023
175,175,31314.24,05-03-2023
176,176,90189.45,28-07-2023
177,177,21569.4,11-03-2023
178,178,77645.01,10-02-2023
179,179,43671.88,15-07-2023
180,180,15817.28,05-05-2023
181,181,92560.2,12-05-2023
182,182,60376.93,21-10-2023
183,183,89062.47,17-07-2023
184,184,12174.64,04-12-2023
185,185,36281.61,04-09-2023
186,186,66088.01,22-07-2023
187,187,88749.11,28-10-2023
188,188,33682.53,18-03-2023
189,189,62913.62,16-06-2023
190,190,95262.48,11-04-2023
191,191,88608.98,24-01-2023
192,192,92620.71,26-07-2023
193,193,26945.31,25-02-2023
194,194,63297.43,15-04-2023
195,195,92855.25,29-08-2023
196,196,63329.87,16-10-2023
197,197,4793.85,30-12-2023
198,198,46108.77,21-08-2023
199,199,50145.04,20-04-2023
200,200,80350.72,23-05-2023
201,201,26115.98,21-03-2023
202,202,28765.33,12-06-2023
203,203,22739.44,10-06-2023
204,204,20046.17,04-03-2023
205,205,85450.34,19-04-2023
206,206,42336.42,10-03-2023
207,207,51434.96,30-09-2023
208,208,9339.39,18-07-2023
209,209,3407.94,13-03-2023
210,210,39693.04,13-11-2023
211,211,76213.04,23-07-2023
212,212,60419.06,03-12-2023
213,213,9777.56,18-12-2023
214,214,52567.71,13-04-2023
215,215,48898.81,13-07-2023
216,216,77275.48,12-06-2023
217,217,25631.6,05-01-2023
218,218,53078.81,26-09-2023
219,219,84082.55,14-05-2023
220,220,2907.34,15-07-2023
221,221,74179.51,21-07-2023
222,222,14893.9,09-11-2023
223,223,26327.7,28-07-2023
224,224,11854.81,02-09-2023
225,225,40698.82,28-01-2023
226,226,49036.73,16-10-2023
227,227,8411.89,22-06-2023
228,228,91427.75,09-11-2023
229,229,68121.73,25-06-2023
230,230,83673.73,01-01-2024
231,231,66683.12,09-05-2023
232,232,24536.62,29-07-2023
233,233,14169.02,24-04-2023
234,234,68514.56,25-07-2023
235,235,62686.72,24-01-2023
236,236,25006.6,18-10-2023
237,237,15185.62,23-06-2023
238,238,19144.38,25-02-2023
239,239,99146.84,17-04-2023
240,240,42353.8,20-09-2023
241,241,33579.92,02-10-2023
242,242,75744.98,05-07-2023
243,243,35250.77,29-12-2023
244,244,43950.47,27-04-2023
245,245,35370.94,14-07-2023
246,246,7595.54,28-08-2023
247,247,13266.51,17-11-2023
248,248,95848.97,17-02-2023
249,249,46574.47,03-08-2023
250,250,38056.2,15-05-2023
251,251,7795.81,28-08-2023
252,252,66647.05,15-05-2023
253,253,70511.08,22-12-2023
254,254,91596.36,28-09-2023
255,255,36550.38,02-05-2023
256,256,85815.82,27-12-2023
257,257,46841.02,19-06-2023
258,258,44348.65,06-01-2023
259,259,14904.61,04-05-2023
260,260,78783.01,20-02-2023
261,261,22917.93,06-07-2023
262,262,22785.65,17-10-2023
263,263,18850.89,16-08-2023
264,264,36102.36,24-12-2023
265,265,4375.74,10-12-2023
266,266,18661.04,30-09-2023
267,267,35656.09,05-12-2023
268,268,81563.41,10-10-2023
269,269,93384.58,29-07-2023
270,270,30573.31,14-05-2023
271,271,46098.73,28-01-2023
272,272,10802.82,18-05-2023
273,273,74386.47,19-04-2023
274,274,42989.07,27-10-2023
275,275,79656.41,13-04-2023
276,276,24956.88,17-02-2023
277,277,42004.62,15-12-2023
278,278,50847.87,28-05-2023
279,279,29589.9,06-11-2023
280,280,48827.49,17-02-2023
281,281,41588.6,25-12-2023
282,282,20390.39,04-03-2023
283,283,51709.6,03-07-2023
284,284,84722.85,19-10-2023
285,285,75148.98,06-10-2023
286,286,8798.55,11-02-2023
287,287,32660.51,15-08-2023
288,288,9529.56,17-01-2023
289,289,44407.89,13-02-2023
290,290,68717.28,03-02-2023
291,291,79458.81,26-01-2023
292,292,14850.92,06-03-2023
293,293,69101.86,12-08-2023
294,294,48186.42,06-01-2023
295,295,60927.95,06-10-2023
296,296,63556.54,02-11-2023
297,297,89312.67,17-11-2023
298,298,53633.53,13-11-2023
299,299,36841.82,30-04-2023
300,300,94203.43,08-12-2023
301,301,56264.41,12-01-2023
302,302,98369.55,15-07-2023
303,303,4671.16,20-06-2023
304,304,67185.69,12-10-2023
305,305,80480.95,07-02-2023
306,306,60417.17,19-08-2023
307,307,31150.15,16-04-2023
308,308,99180.62,05-09-2023
309,309,6873.82,10-05-2023
310,310,83622.54,03-01-2023
311,311,65146.57,18-11-2023
312,312,92010.7,23-02-2023
313,313,30555.49,23-04-2023
314,314,56911.57,13-07-2023
315,315,1805.85,20-07-2023
316,316,8026.95,28-10-2023
317,317,9463.13,05-05-2023
318,318,6726.71,27-09-2023
319,319,44958.39,09-06-2023
320,320,50694.58,17-01-2023
321,321,14801.29,06-09-2023
322,322,62458.6,18-03-2023
323,323,54992.05,16-04-2023
324,324,27148.24,08-01-2023
325,325,49935.13,06-12-2023
326,326,59121.13,15-03-2023
327,327,15181.72,24-07-2023
328,328,44429.56,07-11-2023
329,329,99167.01,31-10-2023
330,330,95546.28,09-07-2023
331,331,70732.93,23-07-2023
332,332,94698.61,12-12-2023
333,333,61979.61,12-02-2023
334,334,2674.78,09-10-2023
335,335,22674.66,09-11-2023
336,336,67371.52,10-08-2023
337,337,55886.75,19-02-2023
338,338,8752.37,30-04-2023
339,339,85762.69,19-06-2023
340,340,24385.28,13-04-2023
341,341,53134.57,09-10-2023
342,342,8861.66,24-03-2023
343,343,6621.45,23-11-2023
344,344,25431.69,30-12-2023
345,345,68456.32,28-06-2023
346,346,42661.4,16-04-2023
347,347,647.72,25-10-2023
348,348,50163.29,09-03-2023
349,349,18272.4,02-01-2023
350,350,18637.61,16-05-2023
351,351,36905.34,22-04-2023
352,352,40987.73,07-04-2023
353,353,80184.87,05-05-2023
354,354,42103.33,05-12-2023
355,355,58875.21,01-08-2023
356,356,57261.8,23-01-2023
357,357,17522.42,01-01-2023
358,358,81816.33,17-04-2023
359,359,10483.79,30-05-2023
360,360,15161.48,21-07-2023
361,361,61229.28,05-04-2023
362,362,93710.15,07-12-2023
363,363,17278.4,20-09-2023
364,364,96106.33,17-03-2023
365,365,50229.19,27-11-2023
366,366,9303.81,18-08-2023
367,367,18683.92,28-05-2023
368,368,27075.55,15-08-2023
369,369,24613.91,27-12-2023
370,370,4825.19,28-04-2023
371,371,65286.54,18-05-2023
372,372,24323.4,27-12-2023
373,373,82176.6,01-01-2024
374,374,28355.27,01-05-2023
375,375,36293.38,08-09-2023
376,376,87990.2,14-04-2023
377,377,46122.93,13-12-2023
378,378,53200.91,11-06-2023
379,379,5132.18,24-04-2023
380,380,54205.44,05-08-2023
381,381,12763.8,07-02-2023
382,382,76264.89,07-08-2023
383,383,51502.35,04-11-2023
384,384,46083.09,14-04-2023
385,385,6360.85,17-04-2023
386,386,54745.49,19-04-2023
387,387,43505.97,19-09-2023
388,388,71740.22,20-09-2023
389,389,60528.97,11-07-2023
390,390,64188.86,23-02-2023
391,391,37951.09,14-12-2023
392,392,76310.28,18-09-2023
393,393,79662.11,08-07-2023
394,394,31623.37,01-04-2023
395,395,87799.75,04-08-2023
396,396,66565.09,05-10-2023
397,397,25018.31,08-04-2023
398,398,7972.96,27-04-2023
399,399,9003.87,16-12-2023
400,400,42302.53,25-04-2023
401,401,49492.15,12-05-2023
402,402,86152.33,21-07-2023
403,403,34799.97,26-08-2023
404,404,41976.26,28-01-2023
405,405,28898.51,29-04-2023
406,406,15524.19,22-06-2023
407,407,66063.29,04-12-2023
408,408,87352.14,04-10-2023
409,409,89959.93,01-06-2023
410,410,61266.58,25-10-2023
411,411,91057.66,06-08-2023
412,412,67548.05,11-07-2023
413,413,73604.44,13-05-2023
414,414,23117.61,21-07-2023
415,415,96045.37,18-06-2023
416,416,4297.63,18-04-2023
417,417,80023.1,15-12-2023
418,418,9981.61,17-11-2023
419,419,14067.83,30-06-2023
420,420,88136.38,14-09-2023
421,421,86949.08,24-07-2023
422,422,25445.01,07-01-2023
423,423,41961.51,15-03-2023
424,424,32189.3,16-04-2023
425,425,94285.55,18-04-2023
426,426,40293.13,19-09-2023
427,427,55411.47,13-12-2023
428,428,63928.36,19-04-2023
429,429,11701.61,14-07-2023
430,430,91798.86,17-07-2023
431,431,77241.88,29-10-2023
432,432,72708.99,06-05-2023
433,433,46946.7,05-09-2023
434,434,54578.96,24-03-2023
435,435,75536.98,30-06-2023
436,436,95429.94,17-10-2023
437,437,46225.82,13-09-2023
438,438,38680.85,07-04-2023
439,439,60503.03,24-06-2023
440,440,20071.06,24-05-2023
441,441,74701.94,08-10-2023
442,442,49993.29,28-09-2023
443,443,42018.35,25-01-2023
444,444,15946.67,06-01-2023
445,445,83896.05,03-08-2023
446,446,69554.04,05-04-2023
447,447,64946.76,12-07-2023
448,448,29296.7,17-03-2023
449,449,28874.37,29-03-2023
450,450,91935.62,18-09-2023
451,451,23761.93,08-12-2023
452,452,31189.56,18-08-2023
453,453,62457.82,18-09-2023
454,454,19840.5,27-01-2023
455,455,20983.22,12-07-2023
456,456,33109.75,02-07-2023
457,457,66100.24,23-01-2023
458,458,67444.23,15-02-2023
459,459,16145.2,20-03-2023
460,460,35575.84,08-06-2023
461,461,18488.29,21-12-2023
462,462,48462.49,02-07-2023
463,463,34813.64,14-11-2023
464,464,51786.18,04-10-2023
465,465,22159.86,06-10-2023
466,466,13808.85,01-08-2023
467,467,80150.89,02-02-2023
468,468,94763.39,12-05-2023
469,469,94654.93,01-10-2023
470,470,90093.04,21-06-2023
471,471,63120.37,15-08-2023
472,472,97302.72,09-09-2023
473,473,70484.69,09-03-2023
474,474,3146.6,18-07-2023
475,475,19113.59,15-10-2023
476,476,69053.82,08-04-2023
477,477,87438.52,11-12-2023
478,478,40225.47,24-12-2023
479,479,3058.38,26-11-2023
480,480,48672.31,24-06-2023
481,481,36567.15,08-06-2023
482,482,8334.65,30-01-2023
483,483,96614.61,11-06-2023
484,484,16145.96,28-01-2023
485,485,36499.52,04-05-2023
486,486,85471.8,09-11-2023
487,487,92025.13,30-12-2023
488,488,4733.85,18-01-2023
489,489,1938.9,02-09-2023
490,490,89559.63,28-08-2023
491,491,77017.76,05-05-2023
492,492,40876.22,23-02-2023
493,493,24652.71,05-06-2023
494,494,23398.82,24-02-2023
495,495,20948.21,07-12-2023
496,496,28903.36,11-09-2023
497,497,75560.51,06-06-2023
498,498,11414.42,27-08-2023
499,499,14313.2,10-06-2023
500,500,78837.41,28-10-2023
